id,key,text,type,,,,,,,
1,XXS,XXS (00),womenLetter,,,,,,,
2,XS,XS (0-2),womenLetter,,,,,,,
3,S,S (4-6),womenLetter,,,,,,,
4,M,M (8-10),womenLetter,,,,,,,
5,L,L (12-14),womenLetter,,,,,,,
6,XL,XL (16-18),womenLetter,,,,,womens plus,,"6,7,160,161,162"
7,2XL,2XL (20-22),womenLetter,,,,,,,
8,XS,XS (30-32),menLetter,,,,,,,
9,S,S (34-36),menLetter,,,,,,,
10,M,M (38-40),menLetter,,,,,,,
11,L,L (42-44),menLetter,,,,,,,
12,XL,XL (46-48),menLetter,,,,,,,
13,XXL,XXL (50-52),menLetter,,,,,,,
14,23,23 in,waistSizes,,,,,,,
15,24,24 in,waistSizes,,,,,,,
16,25,25 in,waistSizes,,,,,,,
17,26,26 in,waistSizes,,,,,,,
18,27,27 in,waistSizes,,,,,,,
19,28,28 in,waistSizes,,,,,,,
20,29,29 in,waistSizes,,,,,,,
21,30,30 in,waistSizes,,,,,,,
22,31,31 in,waistSizes,,,,,,,
23,32,32 in,waistSizes,,,,,,,
24,33,33 in,waistSizes,,,,,,,
25,34,34 in,waistSizes,,,,,,,
26,36,36 in,waistSizes,,,,,,,
27,38,38 in,waistSizes,,,,,,,
28,40,40 in,waistSizes,,,,,,,
29,42,42 in,waistSizes,,,,,,,
30,44,44 in,waistSizes,,,,,,,
31,46,46 in,waistSizes,,,,,,,
32,48,48 in,waistSizes,,,,,,,
33,50,50 in,waistSizes,,,,,,,
34,52,52 in,waistSizes,,,,,,,
35,38S,38S,suitSizes,,,,,,,
36,40S,40S,suitSizes,,,,,,,
37,42S,42S,suitSizes,,,,,,,
38,44S,44S,suitSizes,,,,,,,
39,48S,48S,suitSizes,,,,,,,
40,50S,50S,suitSizes,,,,,,,
41,52S,52S,suitSizes,,,,,,,
42,54S,54S,suitSizes,,,,,,,
43,56S,56S,suitSizes,,,,,,,
44,38R,38R,suitSizes,,,,,,,
45,40R,40R,suitSizes,,,,,,,
46,42R,42R,suitSizes,,,,,,,
47,44R,44R,suitSizes,,,,,,,
48,48R,48R,suitSizes,,,,,,,
49,50R,50R,suitSizes,,,,,,,
50,52R,52R,suitSizes,,,,,,,
51,54R,54R,suitSizes,,,,,,,
52,56R,56R,suitSizes,,,,,,,
53,38L,38L,suitSizes,,,,,,,
54,40L,40L,suitSizes,,,,,,,
55,42L,42L,suitSizes,,,,,,,
56,44L,44L,suitSizes,,,,,,,
57,48L,48L,suitSizes,,,,,,,
58,50L,50L,suitSizes,,,,,,,
59,52L,52L,suitSizes,,,,,,,
60,54L,54L,suitSizes,,,,,,,
61,56L,56L,suitSizes,,,,,,,
62,5,5 (35.5),womenFootwear,,,,,,,
63,5.5,5.5 (36),womenFootwear,,,,,,,
64,6,6 (36.5),womenFootwear,,,,,,,
65,6.5,6.5 (37),womenFootwear,,,,,,,
66,7,7 (37.5),womenFootwear,,,,,,,
67,7.5,7.5 (38),womenFootwear,,,,,,,
68,8,8 (38.5),womenFootwear,,,,,,,
69,8.5,8.5 (39),womenFootwear,,,,,,,
70,9,9 (39.5),womenFootwear,,,,,,,
71,9.5,9.5 (40),womenFootwear,,,,,,,
72,10,10 (40.5),womenFootwear,,,,,,,
73,10.5,10.5 (41),womenFootwear,,,,,,,
74,11,11 (41.5),womenFootwear,,,,,,,
75,11.5,11.5 (42),womenFootwear,,,,,,,
76,12,12 (42.5),womenFootwear,,,,,,,
77,12.5,12.5 (45.5),menFootwear,,,,,,,
78,13,13 (46),menFootwear,,,,,,,
79,13.5,13.5 (46.5),menFootwear,,,,,,,
80,14,14 (47),menFootwear,,,,,,,
81,14.5,14.5 (47.5),menFootwear,,,,,,,
82,15,15 (48),menFootwear,,,,,,,
83,15.5,15.5 (48.5),menFootwear,,,,,,,
84,16,16 (49),menFootwear,,,,,,,
85,3-6m,3-6 Months,youthSizes,,,,,,,
86,6-9m,6-9 Months,youthSizes,,,,,,,
87,9-12m,9-12 Months,youthSizes,,,,,,,
88,newborn,Newborn,youthSizes,,,,,,,
89,12-18m,12-18 Months,youthSizes,,,,,,,
90,0-3m,0-3 Months,youthSizes,,,,,,,
92,24m,24+ Months,youthSizes,,,,,,,
93,1size,One Size (Baby),youthSizes,,,,,,,
94,n/s,Not Specified (Baby),youthSizes,,,,,,,
95,2T,2T,youthSizes,,,,,,,
96,3T,3T,youthSizes,,,,,,,
97,4T,4T,youthSizes,,,,,,,
98,5T,5T,youthSizes,,,,,,,
99,1size,One Size (Toddler),youthSizes,,,,,,,
